West Bank and Gaza,PSE,2592.305912
French Polynesia,PYF,
Qatar,QAT,76275.90768
Romania,ROU,20072.40792
Russian Federation,RUS,14889.01855
Rwanda,RWA,999.6545614
Saudi Arabia,SAU,35057.22523
Sudan,SDN,989.3128662
Senegal,SEN,1743.988884
Singapore,SGP,90674.06663
Solomon Islands,SLB,2149.379573
Sierra Leone,SLE,873.3885752
El Salvador,SLV,5579.659692
San Marino,SMR,
Somalia,SOM,636.9834776
Serbia,SRB,13523.72468
South Sudan,SSD,
Sao Tome and Principe,STP,3244.828997
Suriname,SUR,7430.702192
Slovak Republic,SVK,26147.90284
Slovenia,SVN,34089.35277
Sweden,SWE,57723.2345
Eswatini,SWZ,3936.109692
Sint Maarten (Dutch part),SXM,40027.9176
Seychelles,SYC,17858.82264
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,37506.77984
Chad,TCD,1016.088807
Togo,TGO,1043.140929
Thailand,THA,7345.13569
Tajikistan,TJK,1341.20229
Turkmenistan,TKM,8571.607029
Timor-Leste,TLS,1343.14886
Tonga,TON,
Trinidad and Tobago,TTO,19314.71634
Tunisia,TUN,4350.371797
Turkiye,TUR,15473.28726
Tuvalu,TUV,
Tanzania,TZA,1185.745483
Uganda,UGA,1072.713698
Ukraine,UKR,5389.473145
Uruguay,URY,23906.5133
United States,USA,85809.90038
Uzbekistan,UZB,3161.700106
St. Vincent and the Grenadines,VCT,11501.22652
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Viet Nam,VNM,4717.290287
Vanuatu,VUT,3542.810716
Samoa,WSM,4898.771408
"Yemen, Rep.",YEM,433.1740151
South Africa,ZAF,6253.371582
Zambia,ZMB,1235.084665
Zimbabwe,ZWE,2656.409377
